Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry
AGNC,AGNC Investment Corp.,19.16,$6.34B,2008,Consumer Services,Real Estate Investment Trusts
AGNCB,AGNC Investment Corp.,24.9,$8.63B,n/a,Consumer Services,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp.,24.95,n/a,n/a,Consumer Services,Real Estate Investment Trusts
AGFS,"AgroFresh Solutions, Inc.",2.24,$111.83M,2014,Finance,Business Services
AGFSW,"AgroFresh Solutions, Inc.",0.0999,n/a,2014,Finance,Business Services
AIMT,"Aimmune Therapeutics, Inc.",25.47,$1.08B,2015,Health Care,Major Pharmaceuticals
AIRM,Air Methods Corporation,32.55,$1.18B,n/a,Transportation,Transportation Services
AIRT,"Air T, Inc.",18.45,$37.69M,n/a,Transportation,Air Freight/Delivery Services
ATSG,"Air Transport Services Group, Inc",16.36,$974.54M,n/a,Transportation,Air Freight/Delivery Services
AIRG,"Airgain, Inc.",26.34,$199.65M,2016,Technology,Radio And Television Broadcasting And Communications Equipment
AMCN,AirMedia Group Inc,3.12,$194.06M,2007,Technology,Advertising
AIXG,Aixtron SE,5.26,$587.24M,n/a,Technology,Industrial Machinery/Components
AKAM,"Akamai Technologies, Inc.",66.6,$11.54B,1999,Miscellaneous,Business Services
AKTX,Akari Therapeutics Plc,7.7,$90.68M,n/a,Health Care,Major Pharmaceuticals
AKBA,"Akebia Therapeutics, Inc.",8.98,$344.15M,2014,Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc,2.15,$11.72M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX,"Akorn, Inc.",22.27,$2.79B,n/a,Health Care,Major Pharmaceuticals
ALRM,"Alarm.com Holdings, Inc.",29.46,$1.35B,2015,Technology,Computer Software: Prepackaged Software
ALSK,"Alaska Communications Systems Group, Inc.",1.65,$84.74M,1999,Public Utilities,Telecommunications Equipment
AMRI,"Albany Molecular Research, Inc.",17.34,$743.73M,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ALBO,"Albireo Pharma, Inc.",21.9,$137.85M,n/a,Health Care,Major Pharmaceuticals
ABDC,Alcentra Capital Corp.,11.62,$156.76M,n/a,n/a,n/a
ADHD,Alcobra Ltd.,2.17,$59.81M,2013,Health Care,Major Pharmaceuticals
ALDR,"Alder BioPharmaceuticals, Inc.",29.3,$1.47B,2014,Health Care,Major Pharmaceuticals
ALDX,"Aldeyra Therapeutics, Inc.",5.75,$72.31M,2014,Health Care,Major Pharmaceuticals
ALXN,"Alexion Pharmaceuticals, Inc.",122.97,$27.58B,1996,Health Care,Major Pharmaceuticals
ALCO,"Alico, Inc.",27.8,$231.17M,n/a,Consumer Non-Durables,Farming/Seeds/Milling
ALGN,"Align Technology, Inc.",97.24,$7.75B,2001,Health Care,Industrial Specialties
ALIM,"Alimera Sciences, Inc.",1.2,$77.84M,2010,Health Care,Major Pharmaceuticals
ALJJ,"ALJ Regional Holdings, Inc.",4.41,$152.16M,n/a,Miscellaneous,Business Services
ALKS,Alkermes plc,59.5,$9.04B,1991,Health Care,Major Pharmaceuticals
ABTX,"Allegiance Bancshares, Inc.",30.85,$398.12M,2015,Finance,Major Banks
ALGT,Allegiant Travel Company,160.8,$2.66B,2006,Transportation,Air Freight/Delivery Services
AIQ,"Alliance HealthCare Services, Inc.",7.75,$83.22M,2001,Health Care,Medical Specialities
AHGP,"Alliance Holdings GP, L.P.",28.38,$1.7B,2006,Energy,Coal Mining
AMMA,"Alliance MMA, Inc.",4.25,$37.78M,2016,Consumer Services,Services-Misc. Amusement & Recreation
ARLP,"Alliance Resource Partners, L.P.",22,$1.64B,1999,Energy,Coal Mining
AHPI,"Allied Healthcare Products, Inc.",1.1301,$9.07M,1992,Health Care,Industrial Specialties
AMOT,"Allied Motion Technologies, Inc.",21.44,$200.92M,n/a,Capital Goods,Electrical Products
ALQA,"Alliqua BioMedical, Inc.",0.7599,$22.55M,n/a,Health Care,Medical/Dental Instruments
ALLT,Allot Communications Ltd.,4.66,$156.38M,2006,Technology,Computer Communications Equipment
MDRX,"Allscripts Healthcare Solutions, Inc.",10.89,$2.02B,n/a,Technology,EDP Services
AFAM,Almost Family Inc,41.95,$435.16M,n/a,Health Care,Medical/Nursing Services
ALNY,"Alnylam Pharmaceuticals, Inc.",46.36,$3.98B,2004,Health Care,Major Pharmaceuticals
AOSL,Alpha and Omega Semiconductor Limited,21.96,$511.57M,2010,Technology,Semiconductors
GOOG,Alphabet Inc.,771.23,$531.56B,2004,Technology,"Computer Software: Programming, Data Processing"
GOOGL,Alphabet Inc.,786.16,$541.85B,n/a,Technology,"Computer Software: Programming, Data Processing"
SMCP,AlphaMark Actively Managed Small Cap ETF,21.8919,$24.08M,n/a,n/a,n/a
ATEC,"Alphatec Holdings, Inc.",5.23,$46.6M,2006,Health Care,Medical/Dental Instruments
ASPS,Altisource Portfolio Solutions S.A.,26.56,$501.39M,n/a,Consumer Services,Other Consumer Services
AIMC,Altra Industrial Motion Corp.,35,$905.95M,2006,Capital Goods,Industrial Machinery/Components
AMAG,"AMAG Pharmaceuticals, Inc.",32.6,$1.12B,n/a,Health Care,Major Pharmaceuticals
AMRN,Amarin Corporation plc,3.42,$923.24M,n/a,Health Care,Major Pharmaceuticals
AMRK,"A-Mark Precious Metals, Inc.",16.2,$113.91M,n/a,Basic Industries,Other Specialty Stores
AYA,Amaya Inc.,15.4,$2.23B,n/a,Technology,"Computer Software: Programming, Data Processing"
AMZN,"Amazon.com, Inc.",756.4,$359.42B,1997,Consumer Services,Catalog/Specialty Distribution
AMBC,"Ambac Financial Group, Inc.",23.18,$1.05B,n/a,Finance,Property-Casualty Insurers
AMBCW,"Ambac Financial Group, Inc.",12.14,n/a,n/a,Finance,Property-Casualty Insurers
AMBA,"Ambarella, Inc.",62.22,$2.03B,2012,Technology,Semiconductors
AMCX,AMC Networks Inc.,54.01,$3.8B,n/a,Consumer Services,Television Services
DOX,Amdocs Limited,58.06,$8.58B,n/a,Technology,EDP Services
AMDA,Amedica Corporation,0.8401,$22.18M,2014,Health Care,Medical/Dental Instruments
AMED,Amedisys Inc,40.69,$1.37B,n/a,Health Care,Medical/Nursing Services
UHAL,Amerco,343.92,$6.74B,n/a,Consumer Services,Rental/Leasing Companies
ATAX,"America First Multifamily Investors, L.P.",5.65,$340.43M,n/a,Finance,Finance: Consumer Services
AMOV,"America Movil, S.A.B. de C.V.",11.28,$36.98B,n/a,Public Utilities,Telecommunications Equipment
AAL,"American Airlines Group, Inc.",45.83,$23.75B,n/a,Transportation,Air Freight/Delivery Services
ACSF,"American Capital Senior Floating, Ltd.",11.7,$117M,2014,n/a,n/a
ACAS,"American Capital, Ltd.",17.15,$3.71B,1997,n/a,n/a
AETI,"American Electric Technologies, Inc.",1.7465,$14.56M,n/a,Energy,Industrial Machinery/Components
AMNB,"American National Bankshares, Inc.",30.15,$259.76M,n/a,Finance,Major Banks
ANAT,American National Insurance Company,122.19,$3.29B,n/a,Finance,Life Insurance
APEI,"American Public Education, Inc.",22.25,$358.14M,2007,Consumer Services,Other Consumer Services
ARII,"American Railcar Industries, Inc.",42.41,$821.14M,2006,Capital Goods,Railroads
AMRB,American River Bankshares,13.9,$92.53M,n/a,Finance,Major Banks
AMSWA,"American Software, Inc.",10.52,$306.17M,n/a,Technology,Computer Software: Prepackaged Software
AMSC,American Superconductor Corporation,8.17,$116.01M,1991,Consumer Durables,Metal Fabrications
AMWD,American Woodmark Corporation,81.6,$1.33B,1986,Basic Industries,Forest Products
CRMT,"America&#39;s Car-Mart, Inc.",41.05,$321.68M,n/a,Consumer Durables,Automotive Aftermarket
ABCB,Ameris Bancorp,41.85,$1.46B,1994,Finance,Major Banks
AMSF,"AMERISAFE, Inc.",64,$1.23B,2005,Finance,Property-Casualty Insurers
ASRV,AmeriServ Financial Inc.,3.5,$66.16M,n/a,Finance,Major Banks
ASRVP,AmeriServ Financial Inc.,26.6495,n/a,n/a,Finance,Major Banks
